Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit,JEE_Score,University
38093,322.0,106.0,4.0,3.4,2.8,8.99,0,0.739,310,SRM
38094,310.0,98.0,3.0,3.4,3.7,8.85,1,0.839,338,IIT
38095,322.0,103.0,4.0,3.7,5.0,9.59,0,0.763,339,BITS Pilani
38096,309.0,113.0,5.0,2.8,3.6,8.23,0,0.711,300,Symbiosis
38097,312.0,106.0,3.0,2.9,1.9,7.18,1,0.774,279,Symbiosis
38098,305.0,108.0,4.0,4.8,1.8,9.0,1,0.842,329,BITS Pilani
38099,312.0,101.0,3.0,3.7,2.9,7.76,1,0.771,351,BITS Pilani
38100,309.0,111.0,4.0,5.0,3.9,8.34,0,0.781,306,SRM
38101,336.0,120.0,3.0,3.0,4.3,9.21,0,0.786,295,SRM
38102,306.0,110.0,3.0,3.8,4.4,7.8,1,0.85,284,SRM
38103,321.0,110.0,3.0,3.7,3.6,7.72,1,0.795,322,NIT
38104,306.0,109.0,3.0,2.8,2.7,8.77,1,0.826,292,Manipal
38105,317.0,103.0,5.0,3.4,4.0,9.1,0,0.738,304,SRM
38106,320.0,113.0,4.0,4.1,4.2,9.53,0,0.845,306,Manipal
38107,296.0,106.0,5.0,1.0,3.2,8.88,0,0.668,311,SRM
38108,301.0,118.0,3.0,2.2,3.8,8.51,1,0.814,263,Symbiosis
38109,306.0,118.0,4.0,3.9,4.6,9.36,0,0.812,315,Manipal
38110,302.0,104.0,5.0,1.7,3.0,9.01,1,0.735,309,NIT
38111,317.0,112.0,3.0,2.7,5.0,8.96,1,0.869,310,BITS Pilani
38112,319.0,104.0,3.0,2.6,4.4,8.51,0,0.716,296,Symbiosis
38113,304.0,114.0,3.0,3.5,3.7,9.74,1,0.909,348,IIT
38114,318.0,102.0,2.0,4.7,3.0,9.0,0,0.758,287,Symbiosis
38115,312.0,109.0,4.0,2.0,4.6,8.75,1,0.761,321,BITS Pilani
38116,315.0,110.0,4.0,3.0,4.0,8.06,1,0.83,330,BITS Pilani
38117,309.0,112.0,4.0,2.3,3.0,8.43,1,0.756,313,NIT
38118,322.0,101.0,4.0,3.5,3.7,8.9,1,0.819,354,IIT
38119,335.0,110.0,1.0,2.9,2.2,8.2,1,0.755,293,Manipal
38120,325.0,109.0,3.0,3.5,2.5,8.26,0,0.78,292,Symbiosis
38121,332.0,100.0,3.0,3.5,3.0,9.08,1,0.884,320,BITS Pilani
38122,301.0,114.0,4.0,4.4,4.3,8.72,1,0.867,360,IIT
38123,309.0,117.0,2.0,2.0,3.5,8.14,0,0.695,315,SRM
38124,323.0,108.0,4.0,4.5,3.3,8.6,1,0.853,335,IIT
38125,334.0,106.0,3.0,3.7,2.8,9.14,0,0.761,354,BITS Pilani
38126,324.0,105.0,2.0,3.0,3.5,9.2,0,0.728,327,NIT
38127,305.0,120.0,2.0,3.9,3.9,8.56,1,0.818,330,BITS Pilani
38128,312.0,113.0,2.0,2.2,2.5,8.67,0,0.679,261,Symbiosis
38129,320.0,103.0,4.0,5.0,4.0,8.52,0,0.775,323,SRM
38130,315.0,98.0,1.0,2.3,3.4,8.42,1,0.726,322,NIT
38131,307.0,105.0,4.0,1.0,5.0,8.87,0,0.706,332,Manipal
38132,313.0,105.0,3.0,3.2,4.2,9.17,0,0.739,290,Symbiosis
38133,316.0,109.0,3.0,3.1,3.1,8.07,0,0.685,276,Symbiosis
38134,304.0,107.0,4.0,3.4,4.2,8.83,0,0.723,279,Symbiosis
38135,328.0,114.0,2.0,4.5,3.1,8.56,0,0.78,341,NIT
38136,312.0,91.0,2.0,3.3,3.1,9.13,0,0.709,326,Manipal
38137,316.0,110.0,2.0,3.7,3.0,8.85,1,0.812,293,Manipal
38138,328.0,113.0,2.0,4.5,1.7,8.75,1,0.824,360,IIT
38139,315.0,96.0,3.0,4.2,3.6,8.42,1,0.802,327,BITS Pilani
38140,328.0,102.0,5.0,5.0,2.1,9.36,0,0.742,339,NIT
38141,305.0,104.0,3.0,4.0,3.5,8.15,1,0.814,301,Manipal
38142,321.0,110.0,3.0,2.7,2.6,8.83,0,0.707,339,NIT
38143,326.0,105.0,1.0,2.2,2.7,8.59,0,0.638,328,Manipal
38144,307.0,107.0,3.0,2.7,4.4,8.59,1,0.811,354,IIT
38145,314.0,102.0,3.0,2.4,4.3,9.24,1,0.812,299,NIT
38146,315.0,108.0,4.0,2.7,1.5,7.25,0,0.645,265,Symbiosis
38147,319.0,103.0,2.0,1.6,4.7,8.86,0,0.713,301,SRM
38148,322.0,102.0,4.0,1.1,2.5,7.72,1,0.706,326,NIT
38149,306.0,108.0,2.0,1.8,3.5,9.43,0,0.738,310,SRM
38150,316.0,112.0,5.0,3.5,4.9,7.71,1,0.821,336,BITS Pilani
38151,334.0,109.0,3.0,3.5,3.0,8.48,0,0.7,317,Manipal
38152,328.0,106.0,5.0,4.0,3.2,8.64,1,0.877,350,IIT
38153,325.0,113.0,5.0,3.5,5.0,7.58,1,0.871,288,SRM
38154,314.0,104.0,2.0,3.9,2.5,9.28,1,0.849,348,IIT
38155,340.0,107.0,2.0,2.4,2.8,7.61,1,0.767,358,IIT
38156,328.0,114.0,3.0,3.5,3.9,8.82,0,0.784,312,Manipal
38157,317.0,105.0,2.0,4.2,3.7,9.35,1,0.812,340,IIT
38158,319.0,104.0,5.0,3.8,2.7,9.49,1,0.879,329,IIT
38159,311.0,112.0,5.0,1.5,4.5,9.35,0,0.723,332,NIT
38160,321.0,101.0,3.0,4.2,3.1,8.12,0,0.682,341,Manipal
38161,323.0,114.0,4.0,4.2,2.7,9.62,1,0.867,353,IIT
38162,324.0,95.0,3.0,3.3,3.6,8.69,0,0.687,328,Manipal
38163,314.0,108.0,1.0,3.2,1.9,7.82,1,0.771,325,NIT
38164,300.0,103.0,5.0,4.0,1.7,8.43,1,0.797,278,SRM
38165,319.0,109.0,2.0,4.5,5.0,9.03,1,0.854,324,BITS Pilani
38166,324.0,116.0,2.0,5.0,2.8,9.98,0,0.766,304,Manipal
38167,305.0,100.0,5.0,3.3,2.9,8.58,0,0.672,311,SRM
38168,315.0,99.0,1.0,5.0,4.1,9.21,0,0.778,342,NIT
38169,332.0,114.0,3.0,4.4,3.2,7.77,1,0.829,320,BITS Pilani
38170,303.0,106.0,2.0,3.2,4.3,8.15,1,0.739,249,Symbiosis
38171,313.0,107.0,4.0,3.1,2.7,7.99,1,0.779,283,SRM
38172,333.0,106.0,3.0,2.7,1.5,7.75,1,0.774,332,BITS Pilani
38173,318.0,105.0,4.0,2.1,3.6,7.89,1,0.777,295,SRM
38174,311.0,102.0,4.0,1.8,3.3,9.06,0,0.674,336,NIT
38175,316.0,106.0,5.0,2.7,1.8,9.78,0,0.649,295,SRM
38176,326.0,102.0,4.0,1.5,3.1,8.51,1,0.723,329,BITS Pilani
38177,314.0,113.0,4.0,2.2,2.9,8.29,1,0.821,321,BITS Pilani
38178,323.0,104.0,2.0,5.0,4.3,8.56,0,0.738,332,Manipal
38179,319.0,115.0,5.0,4.1,4.8,8.41,1,0.899,302,NIT
38180,320.0,111.0,2.0,3.2,2.9,8.01,1,0.815,336,BITS Pilani
38181,324.0,101.0,5.0,3.1,2.4,8.93,0,0.695,360,BITS Pilani
38182,313.0,101.0,3.0,4.4,3.6,9.44,1,0.868,262,SRM
38183,306.0,106.0,4.0,2.7,5.0,9.29,1,0.855,317,BITS Pilani
38184,322.0,103.0,3.0,4.2,4.5,8.69,0,0.737,276,Symbiosis
38185,315.0,103.0,4.0,1.3,3.4,9.93,1,0.738,303,BITS Pilani
38186,311.0,112.0,3.0,3.6,3.6,9.31,0,0.742,303,SRM
38187,322.0,109.0,1.0,4.3,3.9,8.85,1,0.81,323,BITS Pilani
38188,331.0,115.0,3.0,3.6,3.7,8.65,0,0.818,339,NIT
38189,315.0,101.0,5.0,3.2,5.0,7.96,0,0.74,332,SRM
38190,317.0,96.0,2.0,3.4,2.2,9.38,0,0.691,323,Manipal
38191,303.0,103.0,4.0,3.4,4.0,7.43,1,0.838,303,SRM
38192,314.0,114.0,2.0,2.5,2.4,8.5,0,0.704,284,Symbiosis
38193,319.0,103.0,3.0,4.5,3.3,8.07,0,0.738,335,Manipal
38194,316.0,117.0,3.0,1.4,5.0,8.36,1,0.858,230,Symbiosis
38195,312.0,104.0,3.0,2.2,4.0,8.41,1,0.842,344,IIT
38196,325.0,111.0,2.0,2.6,4.0,9.61,0,0.75,359,IIT
38197,317.0,107.0,2.0,3.7,3.0,8.89,0,0.747,329,Manipal
38198,340.0,95.0,4.0,1.0,1.6,7.61,1,0.737,360,IIT
38199,319.0,103.0,3.0,3.4,5.0,8.77,1,0.834,272,SRM
38200,285.0,110.0,1.0,3.8,4.0,8.03,1,0.833,305,Manipal
38201,304.0,107.0,1.0,2.9,3.1,8.69,1,0.797,315,NIT
38202,322.0,105.0,4.0,3.5,3.7,8.78,1,0.831,325,BITS Pilani
38203,309.0,106.0,3.0,4.9,4.2,8.07,1,0.85,270,Symbiosis
38204,310.0,108.0,2.0,4.4,2.8,7.83,1,0.786,312,Manipal
38205,302.0,91.0,5.0,3.6,3.2,8.23,1,0.77,312,Manipal
38206,311.0,104.0,3.0,4.1,3.8,9.6,0,0.708,294,SRM
38207,319.0,102.0,3.0,2.2,1.8,7.49,1,0.732,310,Manipal
38208,321.0,111.0,4.0,3.8,2.5,9.62,0,0.778,296,SRM
38209,305.0,112.0,4.0,3.4,2.6,9.09,1,0.81,307,NIT
38210,326.0,108.0,4.0,2.7,4.7,7.77,1,0.836,340,BITS Pilani
38211,303.0,108.0,3.0,3.1,2.8,8.7,0,0.701,330,Manipal
38212,321.0,95.0,1.0,2.6,3.3,8.92,1,0.786,340,IIT
38213,320.0,102.0,3.0,4.3,2.4,8.11,1,0.812,335,BITS Pilani
38214,306.0,105.0,4.0,3.8,3.1,6.98,1,0.752,321,Manipal
38215,305.0,107.0,1.0,3.4,2.8,7.66,1,0.725,280,Symbiosis
38216,321.0,107.0,3.0,1.6,1.6,8.72,1,0.742,329,BITS Pilani
38217,310.0,95.0,3.0,3.8,3.5,8.53,1,0.788,342,BITS Pilani
38218,314.0,113.0,3.0,3.1,3.8,9.0,1,0.847,283,Manipal
38219,324.0,101.0,3.0,5.0,1.7,7.05,1,0.795,272,Symbiosis
38220,322.0,93.0,1.0,2.5,5.0,9.13,0,0.768,289,Symbiosis
38221,306.0,112.0,2.0,2.5,3.7,9.16,0,0.778,266,Symbiosis
38222,316.0,102.0,4.0,3.1,2.5,8.35,1,0.724,278,SRM
38223,306.0,111.0,2.0,1.7,4.5,8.09,1,0.779,286,SRM
38224,326.0,97.0,2.0,3.8,1.6,7.88,0,0.7,350,Manipal
38225,334.0,105.0,1.0,5.0,4.7,9.2,1,0.926,323,IIT
38226,307.0,101.0,4.0,2.8,4.2,8.91,0,0.74,270,Symbiosis
38227,316.0,110.0,3.0,3.3,2.8,8.34,0,0.726,314,SRM
38228,327.0,102.0,2.0,3.5,3.6,8.84,1,0.806,323,BITS Pilani
38229,317.0,110.0,3.0,4.1,3.5,8.22,1,0.842,294,Manipal
38230,323.0,105.0,5.0,2.6,3.2,9.23,0,0.705,315,Manipal
38231,317.0,103.0,3.0,1.6,3.0,7.5,1,0.639,332,NIT
38232,305.0,113.0,5.0,4.5,3.0,9.24,0,0.758,272,Symbiosis
38233,318.0,119.0,2.0,5.0,3.8,8.69,0,0.748,284,Symbiosis
38234,329.0,105.0,3.0,3.8,3.9,8.99,0,0.737,341,NIT
38235,320.0,102.0,2.0,3.1,5.0,8.95,1,0.835,303,NIT
38236,335.0,106.0,3.0,2.7,4.3,9.13,1,0.83,360,IIT
38237,296.0,108.0,3.0,3.3,3.7,8.65,0,0.717,298,Symbiosis
38238,321.0,96.0,4.0,3.0,4.3,9.54,0,0.75,329,NIT
38239,309.0,101.0,4.0,5.0,2.4,8.89,0,0.708,333,Manipal
38240,307.0,98.0,4.0,3.6,3.0,8.45,0,0.673,264,Symbiosis
38241,332.0,100.0,1.0,3.6,4.5,8.24,1,0.799,332,BITS Pilani
38242,314.0,116.0,4.0,3.1,3.4,8.21,1,0.834,305,NIT
38243,313.0,93.0,1.0,2.7,3.1,7.7,1,0.768,327,NIT
38244,320.0,109.0,4.0,1.6,2.1,6.99,0,0.694,287,Symbiosis
38245,292.0,105.0,4.0,2.0,3.9,8.74,0,0.651,299,Symbiosis
38246,332.0,109.0,4.0,4.0,4.5,8.47,0,0.747,318,Manipal
38247,338.0,100.0,4.0,2.2,5.0,6.75,1,0.854,324,Manipal
38248,327.0,104.0,5.0,1.6,3.7,8.21,0,0.677,315,SRM
38249,321.0,115.0,4.0,1.9,4.8,8.16,0,0.725,325,Manipal
38250,314.0,104.0,3.0,1.0,4.5,8.64,1,0.785,355,IIT
38251,304.0,116.0,3.0,4.2,3.2,8.21,0,0.81,297,Symbiosis
38252,330.0,91.0,2.0,3.3,4.2,8.46,1,0.818,334,BITS Pilani
38253,327.0,110.0,4.0,3.3,3.2,7.98,0,0.718,360,BITS Pilani
38254,322.0,107.0,2.0,2.6,3.6,9.72,1,0.894,335,IIT
38255,320.0,98.0,5.0,3.3,4.3,7.52,0,0.706,253,Symbiosis
38256,320.0,113.0,2.0,4.1,3.6,8.37,1,0.794,297,Manipal
38257,311.0,103.0,2.0,3.6,3.1,9.18,0,0.704,285,Symbiosis
38258,340.0,109.0,4.0,2.2,2.8,7.92,1,0.732,347,IIT
38259,313.0,101.0,2.0,2.4,4.2,7.84,1,0.785,306,Manipal
38260,312.0,104.0,3.0,3.4,3.3,8.8,0,0.744,339,NIT
38261,329.0,111.0,4.0,3.2,3.9,8.24,0,0.782,333,Manipal
38262,316.0,120.0,4.0,3.5,1.8,8.28,0,0.718,328,Manipal
38263,316.0,102.0,4.0,3.2,2.5,8.39,0,0.683,285,Symbiosis
38264,332.0,115.0,2.0,4.0,4.7,7.95,0,0.78,334,Manipal
38265,324.0,115.0,4.0,2.2,2.0,8.4,0,0.692,350,BITS Pilani
38266,325.0,111.0,1.0,2.1,3.2,9.26,1,0.815,286,Manipal
38267,300.0,112.0,2.0,1.4,3.5,8.74,0,0.663,293,Symbiosis
38268,321.0,103.0,4.0,3.5,2.5,9.09,0,0.716,333,NIT
38269,305.0,101.0,2.0,3.5,3.2,8.81,0,0.687,314,SRM
38270,311.0,104.0,3.0,2.3,3.4,7.98,1,0.745,340,BITS Pilani
38271,318.0,109.0,4.0,2.3,3.3,8.43,0,0.652,331,Manipal
38272,316.0,105.0,3.0,4.5,5.0,8.21,1,0.87,317,NIT
38273,324.0,103.0,3.0,2.1,2.9,8.78,0,0.662,342,NIT
38274,325.0,103.0,2.0,4.3,4.4,9.13,1,0.847,348,IIT
38275,326.0,105.0,4.0,2.0,3.7,8.1,1,0.743,316,NIT
38276,301.0,112.0,4.0,3.1,3.3,8.24,1,0.787,297,Manipal
38277,340.0,101.0,5.0,2.3,3.7,9.93,0,0.676,360,IIT
38278,316.0,111.0,2.0,4.3,4.2,8.54,1,0.847,293,Manipal
38279,330.0,110.0,2.0,4.2,4.8,9.11,0,0.715,327,NIT
38280,288.0,104.0,2.0,2.0,1.4,9.42,1,0.753,275,SRM
38281,313.0,109.0,2.0,2.6,3.9,8.79,1,0.82,332,IIT
38282,300.0,114.0,4.0,3.5,4.1,7.94,0,0.748,330,SRM
38283,307.0,105.0,2.0,3.4,3.6,7.66,1,0.771,278,Symbiosis
38284,317.0,102.0,2.0,3.0,3.5,8.46,1,0.843,315,NIT
38285,313.0,101.0,3.0,3.5,3.6,8.75,0,0.725,302,Symbiosis
38286,331.0,102.0,2.0,3.7,3.0,7.95,1,0.794,345,IIT
38287,336.0,112.0,4.0,2.5,2.1,9.05,0,0.684,360,IIT
38288,306.0,107.0,3.0,2.7,3.5,8.85,0,0.736,291,Symbiosis
38289,311.0,97.0,3.0,2.6,1.5,8.32,1,0.766,226,Symbiosis
38290,305.0,115.0,4.0,2.1,2.3,8.74,0,0.674,341,NIT
38291,330.0,106.0,4.0,4.2,3.5,8.01,0,0.761,318,SRM
38292,318.0,110.0,5.0,3.6,5.0,7.46,1,0.852,304,Manipal
38293,317.0,111.0,1.0,4.0,3.5,8.58,0,0.704,341,NIT
38294,320.0,102.0,3.0,2.8,1.3,8.43,1,0.794,306,NIT
38295,313.0,100.0,3.0,1.6,2.9,7.74,1,0.716,293,SRM
38296,307.0,101.0,3.0,3.5,4.7,8.61,0,0.729,298,Symbiosis
38297,317.0,106.0,3.0,2.8,2.7,8.78,1,0.825,334,IIT
38298,313.0,110.0,3.0,2.8,3.4,8.02,1,0.836,328,BITS Pilani
38299,320.0,119.0,4.0,1.4,3.1,8.16,1,0.772,358,IIT
38300,298.0,113.0,3.0,3.3,3.7,8.43,0,0.701,311,SRM
38301,319.0,95.0,3.0,4.3,3.2,9.23,0,0.734,316,SRM
38302,309.0,106.0,3.0,2.9,2.7,8.66,0,0.713,332,Manipal
38303,318.0,93.0,2.0,1.8,3.1,8.63,1,0.756,293,Manipal
38304,327.0,113.0,4.0,2.2,4.1,8.89,1,0.849,360,IIT
38305,310.0,106.0,5.0,2.2,3.8,8.32,1,0.83,310,NIT
38306,330.0,107.0,5.0,2.2,5.0,9.33,0,0.792,331,NIT
38307,297.0,106.0,2.0,3.3,2.3,9.59,0,0.668,287,Symbiosis
38308,334.0,108.0,2.0,4.8,2.9,8.12,1,0.861,330,BITS Pilani
38309,330.0,103.0,3.0,4.0,2.7,8.33,0,0.726,316,SRM
38310,306.0,108.0,5.0,4.8,1.5,8.15,1,0.815,304,Manipal
38311,307.0,101.0,2.0,4.5,2.7,9.09,1,0.826,263,Symbiosis
38312,300.0,109.0,3.0,2.7,3.0,8.9,0,0.752,293,Symbiosis
38313,327.0,109.0,2.0,3.0,2.4,8.48,1,0.848,311,NIT
38314,313.0,110.0,5.0,3.6,2.8,8.41,0,0.734,322,SRM
38315,312.0,107.0,3.0,3.4,4.8,8.53,1,0.833,305,NIT
38316,304.0,114.0,5.0,2.9,4.5,8.19,1,0.848,232,Symbiosis
38317,337.0,118.0,3.0,4.5,3.3,8.65,0,0.731,316,Manipal
38318,305.0,98.0,4.0,2.7,2.7,9.27,0,0.689,272,Symbiosis
38319,317.0,99.0,2.0,4.2,3.4,9.12,1,0.822,287,Manipal
38320,319.0,106.0,4.0,1.0,4.6,7.83,0,0.672,325,SRM
38321,312.0,104.0,3.0,3.0,3.3,8.13,1,0.771,274,Symbiosis
38322,310.0,110.0,3.0,3.0,2.9,8.07,1,0.779,310,NIT
38323,312.0,110.0,4.0,3.4,4.5,8.95,1,0.788,304,NIT
38324,323.0,109.0,3.0,1.8,2.4,7.93,0,0.643,301,Symbiosis
38325,313.0,97.0,2.0,3.6,1.8,7.29,0,0.596,277,Symbiosis
38326,335.0,108.0,3.0,2.0,3.3,7.73,0,0.729,328,Manipal
38327,308.0,118.0,1.0,5.0,2.1,9.27,1,0.82,328,IIT
38328,325.0,110.0,2.0,2.8,4.2,8.59,0,0.741,286,Symbiosis
38329,297.0,107.0,3.0,4.4,3.7,8.25,1,0.889,328,BITS Pilani
38330,308.0,111.0,3.0,3.2,4.4,9.5,0,0.784,282,Symbiosis
38331,307.0,102.0,3.0,4.4,4.0,8.21,1,0.853,310,Manipal
38332,304.0,110.0,4.0,1.6,2.6,8.08,1,0.781,269,Symbiosis
38333,320.0,107.0,4.0,3.3,3.1,8.77,1,0.797,307,NIT
38334,315.0,100.0,4.0,3.3,3.4,8.58,1,0.808,277,SRM
38335,291.0,109.0,4.0,3.4,3.6,8.72,1,0.81,283,SRM
38336,339.0,107.0,2.0,1.1,3.1,9.24,1,0.758,331,IIT
38337,318.0,112.0,5.0,2.8,2.2,8.19,1,0.765,288,Manipal
38338,316.0,108.0,2.0,3.4,4.2,8.81,1,0.824,321,BITS Pilani
38339,331.0,108.0,2.0,4.0,4.3,6.78,0,0.739,322,Symbiosis
38340,328.0,108.0,4.0,3.2,4.0,8.67,0,0.717,360,BITS Pilani
38341,313.0,108.0,5.0,1.4,2.9,8.41,1,0.768,337,BITS Pilani
38342,294.0,114.0,3.0,4.2,3.5,7.67,0,0.66,311,Symbiosis
38343,323.0,112.0,5.0,3.2,4.2,8.44,1,0.825,267,SRM
38344,306.0,101.0,3.0,2.7,4.1,8.1,1,0.822,248,Symbiosis
38345,330.0,106.0,3.0,2.9,3.9,10.0,1,0.849,335,IIT
38346,308.0,99.0,4.0,2.7,4.5,8.94,0,0.685,354,NIT
38347,311.0,116.0,4.0,3.3,3.3,9.06,1,0.749,360,IIT
38348,301.0,103.0,5.0,3.7,4.2,9.87,1,0.785,298,NIT
38349,302.0,103.0,3.0,5.0,2.4,7.92,1,0.763,293,SRM
38350,315.0,118.0,2.0,3.6,4.2,9.62,1,0.871,334,IIT
38351,314.0,104.0,3.0,3.7,3.4,9.04,1,0.806,310,NIT
38352,311.0,101.0,4.0,3.8,2.8,8.43,0,0.674,309,SRM
38353,340.0,111.0,4.0,3.2,3.5,8.18,1,0.823,344,IIT
38354,323.0,107.0,3.0,3.7,4.2,8.42,1,0.9,360,IIT
38355,317.0,102.0,1.0,2.6,3.5,8.37,1,0.872,344,IIT
38356,285.0,109.0,4.0,2.7,3.6,7.86,0,0.652,335,SRM
38357,326.0,111.0,2.0,3.5,3.9,9.07,1,0.878,269,SRM
38358,340.0,112.0,4.0,4.6,4.1,8.63,1,0.905,360,IIT
38359,314.0,109.0,4.0,4.8,3.5,8.08,1,0.865,280,SRM
38360,307.0,113.0,3.0,5.0,5.0,7.55,1,0.866,347,BITS Pilani
38361,318.0,112.0,2.0,1.1,3.8,8.07,0,0.69,350,NIT
38362,300.0,104.0,2.0,3.2,4.4,7.85,1,0.8,315,Manipal
38363,322.0,118.0,3.0,3.5,3.2,7.95,1,0.763,302,NIT
38364,333.0,111.0,4.0,2.7,2.6,7.66,1,0.837,317,NIT
38365,309.0,116.0,3.0,3.6,4.8,8.26,0,0.777,297,Symbiosis
38366,309.0,106.0,3.0,3.3,2.8,9.14,0,0.733,334,NIT
38367,316.0,112.0,5.0,4.5,3.4,8.32,0,0.737,325,Manipal
38368,311.0,109.0,5.0,2.5,3.1,8.97,0,0.712,353,BITS Pilani
38369,299.0,113.0,2.0,4.5,3.9,8.25,1,0.811,331,BITS Pilani
38370,312.0,105.0,4.0,3.1,2.0,8.11,1,0.782,285,SRM
38371,310.0,104.0,3.0,3.0,4.2,8.91,1,0.881,322,BITS Pilani
38372,332.0,115.0,2.0,1.5,2.7,8.44,0,0.679,338,NIT
38373,330.0,109.0,4.0,4.7,3.1,7.71,0,0.78,316,SRM
38374,332.0,113.0,2.0,4.9,3.3,7.88,1,0.842,343,IIT
38375,326.0,99.0,2.0,3.5,4.5,8.08,0,0.767,326,SRM
38376,319.0,102.0,1.0,2.1,3.9,8.47,0,0.641,299,Symbiosis
38377,307.0,104.0,3.0,4.8,4.3,8.08,1,0.848,308,Manipal
38378,331.0,115.0,2.0,4.6,4.4,8.41,1,0.811,305,NIT
38379,320.0,115.0,5.0,2.8,3.2,8.67,1,0.835,312,BITS Pilani
38380,302.0,108.0,3.0,4.5,3.1,8.05,0,0.726,306,Symbiosis
38381,306.0,110.0,3.0,4.1,3.6,8.2,0,0.684,271,Symbiosis
38382,302.0,108.0,3.0,3.4,4.6,9.7,1,0.864,330,IIT
38383,293.0,101.0,2.0,2.9,2.8,8.95,0,0.691,337,Manipal
38384,321.0,108.0,2.0,4.6,3.9,7.68,1,0.888,311,Manipal
38385,302.0,102.0,5.0,3.3,3.6,9.14,0,0.708,332,Manipal
38386,308.0,105.0,3.0,2.6,3.5,9.28,0,0.673,317,Manipal
38387,317.0,106.0,2.0,4.7,1.9,8.63,0,0.713,293,Symbiosis
38388,314.0,117.0,3.0,4.1,2.9,8.92,0,0.796,360,BITS Pilani
38389,308.0,108.0,4.0,3.9,5.0,8.39,0,0.75,247,Symbiosis
38390,334.0,105.0,2.0,4.2,2.9,8.56,0,0.702,325,Manipal
38391,299.0,111.0,2.0,3.5,2.6,8.62,1,0.807,292,Manipal
38392,300.0,103.0,4.0,4.0,2.6,8.32,1,0.837,345,BITS Pilani
38393,322.0,120.0,2.0,1.0,5.0,8.98,1,0.842,325,IIT
38394,309.0,110.0,2.0,2.2,4.2,9.56,1,0.838,360,IIT
38395,309.0,92.0,2.0,2.7,3.7,8.24,0,0.642,309,Symbiosis
38396,304.0,102.0,2.0,4.1,2.5,8.19,1,0.829,288,SRM
38397,320.0,118.0,5.0,3.6,4.6,7.91,0,0.75,272,Symbiosis
38398,319.0,108.0,4.0,5.0,3.9,8.56,0,0.749,338,NIT
38399,318.0,104.0,1.0,1.0,2.3,8.39,1,0.732,296,Manipal
38400,310.0,110.0,3.0,3.9,3.6,7.41,1,0.84,289,SRM
38401,308.0,98.0,4.0,3.7,3.5,10.0,1,0.888,360,IIT
38402,315.0,101.0,4.0,1.4,3.8,8.23,1,0.751,333,BITS Pilani
38403,327.0,99.0,2.0,4.2,3.9,8.06,1,0.827,305,Manipal
38404,334.0,105.0,4.0,3.5,3.5,8.62,1,0.806,311,NIT
38405,329.0,117.0,3.0,1.8,3.7,8.43,1,0.833,287,Manipal
38406,322.0,111.0,2.0,2.3,4.0,8.89,1,0.828,273,SRM
38407,328.0,110.0,2.0,2.8,3.1,9.18,0,0.766,345,BITS Pilani
38408,303.0,103.0,5.0,3.1,3.2,8.0,1,0.754,328,NIT
38409,308.0,112.0,3.0,4.7,2.4,8.9,1,0.825,328,BITS Pilani
38410,322.0,102.0,2.0,3.8,3.3,7.62,1,0.818,316,Manipal
38411,315.0,106.0,2.0,3.7,4.2,8.15,0,0.731,292,Symbiosis
38412,320.0,112.0,3.0,4.1,3.8,8.61,1,0.805,350,IIT
38413,328.0,107.0,3.0,3.9,3.8,8.8,1,0.871,276,SRM
38414,326.0,113.0,2.0,3.3,1.7,8.8,0,0.723,307,SRM
38415,304.0,106.0,3.0,3.1,3.2,8.58,0,0.664,315,SRM
38416,317.0,115.0,3.0,1.5,3.0,8.73,1,0.769,321,BITS Pilani
38417,306.0,110.0,5.0,2.5,3.3,7.27,0,0.616,292,Symbiosis
38418,308.0,102.0,3.0,2.5,3.3,8.89,1,0.779,304,NIT
38419,297.0,104.0,3.0,2.1,4.5,9.05,0,0.712,318,SRM
38420,318.0,106.0,2.0,4.9,1.7,9.54,1,0.849,292,NIT
38421,296.0,113.0,5.0,2.5,3.2,8.97,0,0.666,303,SRM
38422,321.0,118.0,3.0,4.2,2.7,8.26,1,0.832,326,BITS Pilani
38423,332.0,98.0,4.0,2.3,3.6,8.55,0,0.68,310,SRM
38424,322.0,105.0,4.0,1.6,2.3,9.17,0,0.624,323,Manipal
38425,317.0,115.0,5.0,4.6,2.7,6.87,1,0.864,300,SRM
38426,334.0,107.0,4.0,2.5,3.6,7.72,0,0.767,268,Symbiosis
38427,320.0,106.0,3.0,2.4,3.4,8.12,1,0.819,269,Symbiosis
38428,307.0,111.0,3.0,1.0,4.2,9.63,1,0.793,321,IIT
38429,318.0,99.0,3.0,5.0,3.6,8.65,1,0.881,296,Manipal
38430,339.0,111.0,2.0,2.3,3.8,9.9,0,0.758,329,BITS Pilani
38431,304.0,109.0,3.0,4.6,4.4,8.01,0,0.724,316,SRM
38432,301.0,108.0,4.0,4.3,3.5,8.14,1,0.732,278,SRM
38433,323.0,114.0,2.0,3.3,5.0,8.4,0,0.738,257,Symbiosis
38434,314.0,107.0,3.0,2.3,3.9,9.03,1,0.848,360,IIT
38435,310.0,107.0,3.0,4.0,3.5,8.07,1,0.859,339,BITS Pilani
38436,302.0,108.0,2.0,5.0,2.8,8.76,1,0.855,330,BITS Pilani
38437,294.0,95.0,3.0,5.0,4.4,8.52,1,0.798,278,Symbiosis
